10001000	.text	__TlgEnableCallback@36
100010a0	.text	_TraceLoggingRegister
100033b0	.text	??$MakeUniquePtrInitialize@UNode@?$LinkedList@V?$HeapArray@E$09@@$09@@$09AAI@@YAIAAV?$unique_ptr@UNode@?$LinkedList@V?$HeapArray@E$09@@$09@@U?$Deleter@UNode@?$LinkedList@V?$HeapArray@E$09@@$09@@$09@@@std@@AAI@Z
100036a0	.text	??1?$BumblelionScopeLock@VBumblelionLockBase@@@@QAE@XZ
100036b0	.text	??1?$FixedSizeHeapArray@E$09@@QAE@XZ
10003840	.text	??1?$LinkedList@V?$HeapArray@E$09@@$09@@QAE@XZ
100038d0	.text	??1?$unique_ptr@UNode@?$LinkedList@UExternalHandle@@$0EF@@@U?$Deleter@UNode@?$LinkedList@UExternalHandle@@$0EF@@@$0EF@@@@std@@QAE@XZ
10003920	.text	??1?$unique_ptr@UNode@?$LinkedList@V?$HeapArray@E$09@@$09@@U?$Deleter@UNode@?$LinkedList@V?$HeapArray@E$09@@$09@@$09@@@std@@QAE@XZ
10003970	.text	??1AudioStream@@UAE@XZ
10003a10	.text	??1SinkStream@@UAE@XZ
10003ad0	.text	??1SourceStream@@UAE@XZ
10003b90	.text	??_ESinkStream@@UAEPAXI@Z
10003b90	.text	??_GSinkStream@@UAEPAXI@Z
10003c60	.text	??_ESourceStream@@UAEPAXI@Z
10003c60	.text	??_GSourceStream@@UAEPAXI@Z
10003d30	.text	?ComputeEntryCount@?$LinkedList@UStateChange@@$0IP@@@QBEIXZ
10003d30	.text	?ComputeEntryCount@?$LinkedList@V?$HeapArray@E$09@@$09@@QBEIXZ
10003d50	.text	?ExternalHandleCreated@?$StateChangeManager@UStateChange@@UPARTY_STATE_CHANGE@@W4PARTY_STATE_CHANGE_TYPE@@@@QAEIPBX@Z
10003f70	.text	?ExternalHandleDestroyed@?$StateChangeManager@UStateChange@@UPARTY_STATE_CHANGE@@W4PARTY_STATE_CHANGE_TYPE@@@@QAEXPBX@Z
10004180	.text	?FindExternalHandle@?$StateChangeManager@UStateChange@@UPARTY_STATE_CHANGE@@W4PARTY_STATE_CHANGE_TYPE@@@@AAEPAUExternalHandle@@PBX@Z
10004250	.text	?GetAvailableBufferCount@AudioStream@@QBEIXZ
10004300	.text	?GetConfiguration@SinkStream@@QBEABUPARTY_AUDIO_MANIPULATION_SINK_STREAM_CONFIGURATION@@XZ
10004370	.text	?GetConfiguration@SourceStream@@QBEABUPARTY_AUDIO_MANIPULATION_SOURCE_STREAM_CONFIGURATION@@XZ
100043e0	.text	?GetCustomContext@AudioStream@@QAEPAXXZ
10004450	.text	?GetFormat@AudioStream@@QAE?AUPARTY_AUDIO_FORMAT@@XZ
